category,word
1,safe
1,peace
1,compassionate
1,compassion
1,sympathy
1,care
1,caring
1,protect
1,protector
1,protection
1,shield
1,shelter
1,amity
1,secure
1,benefit
1,defend
1,defender
1,defence
1,guard
1,preserve
7,preserve
9,preserve
2,harm
2,injure
2,injurious
2,suffer
2,war
2,wars
2,warlike
2,warring
2,fight
2,battle
2,violence
2,violent
2,hurt
2,kill
2,kills
2,killed
2,killing
2,endanger
2,cruel
2,brutal
2,abuse
2,damage
2,ruin
2,ruinous
10,ruin
10,ruinous
2,ravage
2,detrimental
2,detriment
2,crush
2,attack
2,annihilate
2,destroy
2,stomp
2,abandon
6,abandon
2,spurn
2,impair
2,exploit
10,exploit
2,exploits
10,exploits
2,exploited
10,exploited
2,exploiting
10,exploiting
2,wound
3,fair
3,fairly
3,fairness
3,fairplay
3,equal
3,justice
3,justness
3,justification
3,justifies
3,justifiable
3,reciprocal
3,impartiality
3,impartial
3,rights
3,equity
3,evenness
3,equivalent
3,tolerant
3,equable
3,balance
3,homologous
3,reasonable
3,constant
3,honest
4,unfair
4,unequal
4,bias
4,unjust
4,injustice
4,bigotry
4,discrimination
4,discriminate
4,disproportion
4,inequitable
4,prejudice
4,dishonest
4,unscrupulous
4,dissociate
4,preference
4,favoritism
4,exclusion
4,exclusive
4,exclude
5,together
5,nation
5,family
5,families
5,familial
5,group
5,loyal
7,loyal
5,patriot
5,communal
5,community
5,companion
5,comrades
5,cadre
5,collective
5,joint
5,unison
5,unite
5,fellow
5,guild
5,solidarity
5,devote
5,member
5,cohort
5,ally
5,insider
6,foreign
6,enemy
6,betray
8,betray
6,treason
8,treason
6,traitor
8,traitor
6,treachery
6,perfidious
8,treachery
8,perfidious
6,individual
6,apostasy
8,apostasy
10,apostasy
6,apostate
8,apostate
10,apostate
6,deserted
8,deserted
6,desert
6,deserters
8,desert
8,deserters
6,deserting
8,deserting
6,deceive
6,deception
6,imposter
6,miscreant
6,spy
6,sequester
6,renegade
7,obedience
7,obey
7,obedient
7,duty
7,law
7,lawful
7,legality
7,legal
7,duties
7,award
7,honor
7,respect
7,respectful
7,respected
7,respects
7,order
7,father
7,mother
7,mothering
7,mothers
7,tradition
7,hierarchy
7,authority
7,permit
7,permission
7,rank
7,leader
7,lead
7,class
7,bourgeoisie
7,position
7,compliance
7,command
7,supremacy
7,control
7,submission
7,submit
7,commit
7,allegiance
7,serve
7,abide
7,deference
7,defer
7,revered
7,idol
7,fear
7,veneration
7,comply
8,defiance
8,rebel
8,dissent
8,overthrow
8,subvert
8,seditious
8,sedition
8,agitated
8,illegal
8,lawless
8,insurgent
8,mutinous
8,defy
8,dissident
8,unfaithful
8,alienate
8,defector
8,heretic
10,heretic
8,nonconformist
8,oppose
8,protest
8,refuse
8,denounce
8,remonstrate
8,riot
8,obstruct
9,piety
9,pious
9,purity
9,pure
9,clean
9,sacred
9,chaste
9,chastity
9,holy
9,holiness
9,sanctify
9,saint
9,wholesome
9,celibacy
9,abstention
9,virgin
9,virgins
9,virginity
9,virginal
9,austerity
9,integrity
9,modesty
9,abstinence
9,abstain
9,abstemiousness
9,upright
9,limpid
9,unadulterated
9,maiden
9,virtuous
9,refined
9,decent
9,decency
9,immaculate
9,innocent
9,pristine
9,church
10,disgust
10,corruption
10,depraved
10,disease
10,unclean
10,dirt
10,contagion
10,indecent
10,sin
10,iniquity
10,sinful
10,sinner
10,sins
10,sinned
10,sinning
10,whore
10,impiety
10,impious
10,profane
10,gross
10,repulse
10,sick
10,promiscuous
10,adultery
10,debauchery
10,defile
10,tramp
10,prostitute
10,unchaste
10,intemperate
10,wanton
10,profligate
10,filth
10,trashy
10,lax
10,tainted
10,stain
10,debased
10,wickedness
10,wicked
10,blemish
10,pervert
10,wretched
